source_id,source_name,total_terms,vocabulary_size,kl_divergence
8,digital.elmercurio.com,15941,16,7.055216208059447
43,digital.lasegunda.com,1083,16,6.716867507968582
84,revo30.org,17104,913,5.801097481385972
41,portaldisc.com,10279,2417,2.8529918307528144
29,tribunalcalificador.cl,8837,1868,2.7919894555494977
87,canal9.cl,1386,891,2.7749545338918815
37,caras.cl,9408,1977,2.746012921937457
89,diarioelcentro.cl,1260,778,2.73246941529689
91,fotech.cl,1057,695,2.630085059240258
36,puntoticket.com,2550,1198,2.6047206126952682
101,itseller.cl,3144,1381,2.5276306510558753
98,eltipografo.cl,2048,1100,2.4667316746877224
95,chocale.cl,2773,1353,2.4109367289491166
92,elpinguino.com,1999,1189,2.294383265859756
93,lahora.cl,2705,1545,2.0981758926725154
102,iquiqueonline.cl,2783,1562,2.011848791960758
30,santiagotimes.cl,18774,5244,1.7605580527854643
32,blog.clay.cl,8247,2638,1.758937052041814
26,pisapapeles.net,49361,6980,1.615567169117102
88,montenbaik.com,21091,4886,1.6067669790320915
5,servel.cl,47667,6137,1.5301449243525953
81,diarioconcepcion.cl,15147,4366,1.5198169449446535
90,espn.cl,9589,3501,1.4698438381238452
83,tarreo.com,29396,6549,1.3847339081204852
3,madboxpc.com,147256,11789,1.35558660212604
85,kilometrocero.cl,8210,3812,1.3545565142702758
16,hyperconectados.com,272892,13746,1.3223470192924986
39,pousta.com,19125,6172,1.2920209977798196
94,ellibero.cl,9170,3450,1.2758753554469637
27,mega.cl,11345,4245,1.2385068883950745
28,fmdos.cl,11735,4338,1.2280953333738105
40,chilecologico.cl,29851,6844,1.2147842849561357
14,diarioestrategia.cl,87868,11169,1.1299660873518595
19,terra.cl,741271,19904,1.12348880505833
86,diarioeldia.cl,14081,4949,1.0571302828591354
38,pagina7.cl,44664,7874,1.0395580931004944
34,ohmygeek.net,115049,12858,1.034934903453629
11,finde.latercera.com,3147279,21250,1.0233092889952546
33,encancha.cl,27624,6668,1.0230078937117109
42,diarioelheraldo.cl,15149,5367,0.947256934731163
35,redgol.cl,102886,11070,0.9315469678558689
74,prensafutbol.cl,1954373,23980,0.8765081223565088
22,glamorama.latercera.com,1107358,21128,0.857685903098159
73,portalportuario.cl,5131521,27528,0.8552779771388623
72,limalimon.cl,1935872,25818,0.8155572157399793
48,america-retail.com,7790979,28402,0.7913986419062194
6,latendencia.cl,148600,14608,0.7679692887726399
23,lared.cl,437230,20770,0.7433023318097051
47,alairelibre.cl,1531110,24802,0.6537063826072897
66,futuro.cl,4149696,30758,0.6121897738567238
12,pudahuel.cl,943907,23471,0.59778448763764
21,itvpatagonia.com,252783,17290,0.5510178179566948
7,lanalhuenoticias.cl,485077,21562,0.5245488275580864
44,13.cl,2277843,28285,0.46620362671256554
63,elperiscopio.cl,1338273,26803,0.4293106448222497
10,elinsular.cl,1202839,26658,0.4263377569066489
18,puentealtoaldia.com,638215,23540,0.42394663622007595
20,meganoticias.cl,128938,15861,0.42355949663103115
1,diariolongino.cl,922832,25569,0.3957961597797966
4,miradiols.cl,591940,23191,0.37970537200633936
55,df.cl,9985555,30722,0.3703688186490977
31,ciperchile.cl,623353,24769,0.3387462954122472
80,tvn.cl,803490,26330,0.3274617064042848
64,elrancaguino.cl,4380355,30259,0.3215406460423933
51,chvnoticias.cl,1881409,30122,0.2896701514514088
24,radionuevomundo.cl,1013284,26750,0.2879244041929169
76,radio.uchile.cl,4903680,31308,0.2872873337906145
62,elobservatodo.cl,2111204,29560,0.2696732039430823
54,cronicadigital.cl,2353360,29950,0.2576239618272072
68,lacuarta.com,10908955,31716,0.24505534696041845
50,chilevision.cl,3154215,30333,0.24301693848402647
75,publimetro.cl,3856608,31127,0.23806390836440358
56,duna.cl,1148491,29494,0.2363852826762296
15,elrancahuaso.cl,853138,27917,0.22394979940333076
13,elamaule.cl,845751,27767,0.22157793079053797
9,elvacanudo.cl,755611,27469,0.21415008721349507
60,elmorrocotudo.cl,1238843,29041,0.21380439658693526
2,mercuriovalpo.cl,743139,27100,0.21311586376693112
17,elnortero.cl,850626,27851,0.2040000083025334
25,laopinon.cl,792511,27701,0.1952688413656726
57,elciudadano.com,9671563,31742,0.19478156122302015
70,laprensaaustral.cl,5686116,31466,0.17722631462303778
67,infogate.cl,3556700,30928,0.16674915059967116
79,theclinic.cl,3067750,31072,0.12216794993591218
58,eldesconcierto.cl,4310113,31420,0.1169293131727554
61,elmostrador.cl,8680734,31972,0.11459920982003607
52,cnnchile.com,2744976,31068,0.1134165138914704
77,radioagricultura.cl,6474252,31693,0.10051940338205412
69,lanacion.cl,4185448,31611,0.09768010547613326
59,eldinamo.cl,3679571,31356,0.08449984140241343
46,adnradio.cl,13729911,32276,0.08298617696289887
65,emol.com,4454990,31619,0.08027616176526174
78,t13.cl,11503565,31880,0.07389137950069798
45,24horas.cl,9580963,31926,0.0735188195204666
53,cooperativa.cl,11960737,31914,0.07272282107944963
71,latercera.com,13542265,31851,0.06884934008245885
49,biobiochile.cl,31114410,32361,0.060062659341977805
